crop.species,age
Diospyros_discolor,29.028138
Diospyros_ebenum,13.65086
Diospyros_kaki,8.485365
Diospyros_lotus,5.40153
Diospyros_major,5.40153
Diospyros_nigra,13.650858
Diospyros_virginiana,13.65086
Dipteryx_odorata,8.954395
Dovyalis_caffra,5.763638
Dovyalis_hebecarpa,35.244429
Duchesnea_filipendula,35.244429
Durio_oxleyanus,6.222578
Durio_zibethinus,4.34322
Dysoxylum_parasiticum,4.34322
Dysphania_ambrosioides,21.677589
Echinochloa_colona,9.90736
Echinochloa_crus-pavonis,1.30706
Echinochloa_esculenta,1.30705
Echinochloa_frumentacea,0.069968
Elaeagnus_multiflora,1.30706
Elaeagnus_pungens,2.749455
Elaeagnus_umbellata,2.74947
Elaeis_guineensis,2.749455
Elaeocarpus_floribundus,12.1511554
Eleocharis_dulcis,17.406468
Elettaria_cardamomum,18.975122
Eleusine_coracana,14.820112
Elymus_canadensis,4.117818
Elymus_caninus,1.500016
Elymus_repens,2.828625
Elymus_smithii,2.828624
Ensete_ventricosum,2.828625
Enydra_fluctuans,13.940375
Eragrostis_tef,NA
Eriobotrya_japonica,10.30224
Eriochloa_polystachya,4.553568
Eruca_vesicaria_subsp._sativa,0.698815
Etlingera_elatior,0.803265
Eugenia_pyriformis,4.209157
Eugenia_uniflora,27.160743
Euryale_ferox,23.752413
Euterpe_oleracea,66.195769
Eutrema_japonicum,12.067863
Fagopyrum_esculentum,11.56194
Fagopyrum_tataricum,28.72582
Ficus_auriculata,8.3011
Ficus_carica,10.101792
Ficus_sycomorus,9.259269
Fimbribambusa_horsfieldii,11.92241
Flacourtia_indica,3.268219
Flacourtia_rukam,35.244429
Foeniculum_vulgare,13.32217
Fragaria_viridis,3.08109
Fragaria_ananassa,7.43253
Galega_officinalis,1.924461
Gambeya_africana,32.25983
Garcinia_cochinchinensis,11.55009
Garcinia_dulcis,2.365676
Garcinia_indica,1.647986
Garcinia_madruno,11.29323
Garcinia_mangostana,17.280064
Garcinia_multiflora,11.29323
Garcinia_pedunculata,14.1167
Garcinia_prainiana,17.28006
Garcinia_xanthochymus,17.280065
Genipa_americana,1.647986
Gigantochloa_ligulata,7.077584
Glebionis_coronaria,1.457412
Glebionis_segetum,5.720467
Gleditsia_japonica,5.720467
Glycine_max,5.84486
Glycyrrhiza_echinata,8.513688
Glycyrrhiza_glabra,5.5507
Gossypium_herbaceum,4.440126
Gossypium_hirsutum,4.489364
Grewia_asiatica,1.077141
Guizotia_abyssinica,2.59946
Gymnema_inodorum,4.8316346
Helianthus_annuus,2.76083
Helianthus_tuberosus,1.825839
Hemerocallis_fulva,0.603858
Hibiscus_cannabinus,1.083935
Hibiscus_radiatus,3.291703
Hibiscus_sabdariffa,3.291703
Hodgsonia_macrocarpa,3.291703
Hordeum_vulgare,18.729026
Houttuynia_cordata,2.598933
Hovenia_dulcis,65.518558
Humulus_lupulus,0.027839
Hydrolea_zeylanica,11.530576
Hyptis_suaveolens,0.737093
Ilex_paraguariensis,9.376677
Illicium_verum,18.899998
Inga_edulis,12.21583
Inga_feuillei,1.458626
Inga_laurina,0.305731
Inocarpus_fagifer,3.259101
Inula_racemosa,12.188589
Ipomoea_aquatica,5.86617
Ipomoea_batatas,9.84382
Ipomoea_eriocarpa,9.84382
Irvingia_gabonensis,7.631672
Isatis_tinctoria,5.18973
Iva_annua,5.694141
Jaltomata_procumbens,6.0738635
Jasminum_sambac,2.589256
Jatropha_curcas,20.61853
Jatropha_multifida,9.2575
Juglans_ailanthifolia,9.2575
Juglans_hindsii,13.15664
Juglans_mollis,6.610102
Juglans_neotropica,7.341842
Juglans_nigra,7.341842
Juglans_regia,6.610102
Kaempferia_galanga,13.15664
Kaempferia_rotunda,8.91172
Lablab_purpureus,8.91172
Lactuca_indica,7.031192
Lactuca_sativa,0.147442
Lactuca_serriola,4.632958
Lagenaria_siceraria,4.632958
Lathyrus_cicera,7.011877
Lathyrus_ochrus,11.36029
Lathyrus_sativus,9.943542
Lathyrus_sylvestris,11.360279
Lathyrus_tuberosus,8.531364
Launaea_taraxacifolia,8.531364
Laurus_nobilis,3.15413
Lecythis_zabucajo,84.59525
Lepidium_meyenii,6.129579
Lepidium_ruderale,5.242362
Lepidium_sativum,16.604999
Lepisanthes_rubiginosa,16.605
Leptospermum_laevigatum,18.698468
Leucaena_leucocephala,16.787082
Levisticum_officinale,28.818267
Lilium_auratum,7.498401
Lilium_lancifolium,6.381183
Lilium_leichtlinii,4.447659
Limonia_acidissima,4.730248
Linaria_japonica,26.824169
Linum_usitatissimum,7.09115
Lippia_abyssinica,11.530981
Litchi_chinensis,5.21054
Litsea_calophylla,34.237619
Lolium_perenne,9.419431
Luffa_acutangula,9.063863
Luffa_aegyptiaca,3.335167
Lupinus_albus,2.857225
Lupinus_ananeanus,11.00638
Lupinus_angustifolius,11.00638
Lupinus_cosentinii,8.364522
Lupinus_luteus,4.685059
Lupinus_mutabilis,8.364522
Lupinus_perennis,11.00638
Lupinus_polyphyllus,11.00638
Lupinus_tauris,0.871827
Lycianthes_mozinoana,11.00638
Lycium_chinense,14.28688
Lysiloma_latisiliquum,3.982425
Macadamia_integrifolia,8.60761
Macrotyloma_uniflorum,2.852122
Malpighia_emarginata,2.222752
Malpighia_glabra,2.144077
Malpighia_urens,2.137063
Malus_asiatica,3.728
Malus_baccata,4.76971
Malus_domestica,3.864534
Malus_hupehensis,3.575949
Malus_micromalus,3.864534
Malus_prunifolia,3.864534
Malus_sieboldii,4.769718
Malus_spectabilis,3.878246
Malus_turkmenorum,3.864535
Malva_sylvestris,4.769717
Malva_verticillata,0.957691
Mammea_americana,0.39636
Mangifera_caesia,6.926713
Mangifera_foetida,10.295814
Mangifera_indica,10.295814
Mangifera_odorata,10.295814
Manihot_esculenta,10.295814
Manilkara_zapota,2.619917
Maranta_arundinacea,7.257889
Matricaria_chamomilla,10.42132
Medicago_lupulina,1.3996525
Medicago_sativa,4.332871
Medicago_truncatula,4.299765
Melicoccus_bijugatus,3.751976
Melilotus_officinalis,18.905428
Mentha_canadensis,3.724886
Mentha_spicata,5.06781
Mentha_piperita,5.06781
Mespilus_germanica,5.06781
Mesua_ferrea,5.051583
Metroxylon_sagu,40.107758
Mirabilis_expansa,7.3715086
Miscanthus_sacchariflorus,5.89929
Momordica_balsamina,6.346239
Momordica_charantia,10.67529
Monstera_deliciosa,10.67529
Moringa_oleifera,12.55839
Moringa_stenopetala,11.792489
Morus_alba,11.7925
Morus_nigra,2.02409
Morus_rubra,8.399864
Mucuna_pruriens,6.34064
Muntingia_calabura,15.62044
Murraya_koenigii,76.302148
Musa_textilis,25.5239
Musa_paradisiaca,9.804073
Myrceugenia_lanceolata,NA
Myrica_rubra,15.711594
Myristica_fragrans,4.258343
Myrrhis_odorata,27.24123
Nassella_viridula,22.532264
Nasturtium_officinale,1.198109
Nelumbo_nucifera,15.176647
Neptunia_oleracea,127.500574
Nicotiana_tabacum,9.53713
Nigella_sativa,11.455528
Ocimum_basilicum,8.66427
Ocotea_quixos,7.22119
Oenanthe_javanica,6.814755
Olea_europaea,4.549822
Omphalea_diandra,3.610833
Opuntia_boldinghii,4.587776
Opuntia_cochenillifera,11.560121
Opuntia_crystalenia,11.56013
Opuntia_dejecta,11.56013
Opuntia_dillenii,11.56013
Opuntia_elatior,0.996764
Opuntia_engelmannii,4.506544
Opuntia_ficus-indica,3.939805
Opuntia_hyptiacantha,11.56013
Opuntia_leucotricha,11.560119
Opuntia_robusta,11.56012
Opuntia_undulata,3.939805
Origanum_majorana,11.56013
Origanum_vulgare,0.133732
Oryza_glaberrima,0.089612
Oryza_meyeriana,2.538544
Oryza_minuta,13.505483
Oryza_sativa,5.838859
Osmanthus_fragrans,6.785512
Oxalis_tetraphylla,15.191955
Oxalis_tuberosa,2.04205
Pachyrhizus_ahipa,2.04205
Pachyrhizus_erosus,4.331297
Pachyrhizus_tuberosus,4.331277
Pandanus_amaryllifolius,4.331297
Pandanus_julianettii,17.156921
Pandanus_tectorius,31.33772
Pangium_edule,17.117915
Panicum_antidotale,64.938024
Panicum_hirticaule,14.601516
Panicum_miliaceum,3.06798
Panicum_virgatum,10.61
Papaver_somniferum,10.610012
Parkia_biglobosa,7.564093
Parkia_speciosa,27.89954
Parmentiera_aculeata,27.89954
Parmentiera_cereifera,1.7653
Paspalum_dilatatum,4.327756
Paspalum_distichum,3.76418
Paspalum_notatum,3.76418
Paspalum_plicatulum,3.76418
Paspalum_scrobiculatum,3.76418
Passiflora_alata,3.76418
Passiflora_antioquiensis,21.446465
Passiflora_caerulea,21.446466
Passiflora_edulis,8.947655
Passiflora_laurifolia,21.446465
Passiflora_ligularis,21.446465
Passiflora_maliformis,21.446465
Passiflora_mollissima,4.494376
Passiflora_pinnatistipula,1.171847
Passiflora_quadrangularis,21.446466
Pastinaca_sativa,21.446465
Paullinia_cupana,6.13131
Peltophorum_pterocarpum,27.40055
Peperomia_pellucida,19.155354
Pereskia_aculeata,9.09312
Perilla_frutescens,6.517296
Persea_americana,0.572044
Persea_schiedeana,25.253597
Persicaria_hydropiper,25.253597
Persicaria_odorata,5.759996
Petasites_japonicus,5.759996
Petrosedum_rupestre,4.026708
Petroselinum_crispum,37.55247
Petunia_hybrida,22.532327
Phacelia_tanacetifolia,0.431674
