"Family","Species.ssp.var","common.name","wild.cultivated","Herbaceous.woody","Trait","VALUE","WR2toCrop","WR2toWR1","Both","Neither","Direction.WR2toCrop","Direction.WR2toWR1"
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","BranchingPosition","Mesotonic",0,1,0,0,"","Mesotonic to Absent"
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","Flowering","Lateral and Terminal",1,0,0,0,"Terminal to Lateral and Terminal",""
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","MeristemFunctioning","Determinate",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","BranchingMechanism","Diffuse",1,1,1,0,"Continuous to Diffuse","Continuous to Absent"
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","ShortShoots","Absent",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","Reiteration","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","BasalBranching","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","Phyllotaxis","Spiral",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","Phyllotaxis","Spiral",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","Branching","Branched",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","Branching","Branched",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","BranchingType","Monopodial",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","BranchingType","Monopodial",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","BranchingPosition","Mesotonic",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","BranchingPosition","Mesotonic",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","Flowering","Lateral and Terminal",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","Flowering","Lateral and Terminal",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","MeristemFunctioning","Determinate",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","MeristemFunctioning","Determinate",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","BranchingMechanism","Continuous",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","BranchingMechanism","Continuous",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","ShortShoots","Present",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","ShortShoots","Present",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","Reiteration","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","Reiteration","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Abelmosk wild relative 2","Wild","Herbaceous","BasalBranching","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot_subsp._tetraphyllus","Okra wild relative 2","Wild","Herbaceous","BasalBranching","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","Phyllotaxis","Spiral",0,0,0,1,"",""
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","Branching","Branched",0,0,0,1,"",""
"Malvaceae","Abelmoschus_moschatus","Abelmosk","Cultivated","Herbaceous","BranchingType","Monopodial",0,1,0,0,"","Monopodial to Sympodial"
